reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment
6d02209f-6f2b-40eb-a0d5-6fb855b276eb,Hendra sinyo,https://play-lh.googleusercontent.com/a-/ALV-UjU0PVBoEjxQa79Og3O9TjEUYh43Ld00otkoHFwwuYBhOdbmOHBV,Yg ttap bikin kecewa tiap paket data habis pulsa utama selalu hilang... Lupa blm perpanjang paket data telat bbrapa mnit aj sdah hilang plsa utama...,2,0,7.30.0,10/3/2024 19:01,"

Hai Teman smartfren kami informasikan perihal utk keluhan, saran dan informasi kamu  bisa menghubungi kami melalui layanan Whatsapp Official Smartfren di 08881212888 ( hubungi.co/a/Smartfren ) #makinmudahmakindekat . Terima kasih - El


",10/3/2024 19:03,7.30.0,negatif
efbd5a02-c101-402f-9097-183fae286653,Mulyanto 24,https://play-lh.googleusercontent.com/a/ACg8ocLaKrmLmzYX5C1BeDqiwAKyLTgMvFZj0_oO9tATN-drn-9u3w=mo,"payah beli kuota malem perjanjian jam satu malem ,giliran udah jam satu gak aktif babi",1,0,,10/3/2024 18:32,"
Kami memahami apa yang Teman smartfren rasakan dan kami siap membantu. Agar kendala Kamu dapat diselesaikan, silakan kunjungi layanan WhatsApp Official Smartfren 08881212888 . Kami pastikan akan ada CSR yang siap melayani kendala Kamu. Terima kasih - Dewa


",10/3/2024 18:34,,negatif
97e606ca-92d7-40a5-99a4-fd56befbc236,Yoi nobchanel,https://play-lh.googleusercontent.com/a-/ALV-UjXh3R1osMkBMF2_nfSbot60AABOLs8G1w_eWn19wHLENpzDNMnf,good buat maen games,5,0,7.32.0,10/3/2024 18:22,"
Terima kasih atas apresiasi yang diberikan serta rating terbaiknya untuk Aplikasi kami, dan utk cek promo terbaru dari smartfren silahkan hubungi kami serta infokan nomor smartfrennya saat menghubungi kami di layanan Whatsapp di nomor 08881212888. Terima kasih. Tama
",10/3/2024 18:31,7.32.0,positif
15ded4bb-d436-4a88-8f32-b03e3b8e4b53,Bego Kamz,https://play-lh.googleusercontent.com/a/ACg8ocJDJl-y9MRzXmtmbm4XJAIyle-r3sYpMCgzJY1KbTHRrdF92w=mo,menarik,5,0,7.32.0,10/3/2024 18:19,"
Terima kasih Teman smartfren utk bintang limanya. Kami informasikan perihal utk keluhan, saran dan informasi kamu  bisa menghubungi kami melalui layanan Whatsapp Official Smartfren di 08881212888 ( hubungi.co/a/Smartfren ) #makinmudahmakindekat . Terima kasih - El


",10/3/2024 18:23,7.32.0,positif
168eb1c3-6d27-4ac0-913e-5e8470ecc5e8,Agus Juhaeri,https://play-lh.googleusercontent.com/a/ACg8ocI4q0jJNfX4oU9Q5NfK6NGOi21qGv6_COAKpUEAz2MHF04aIIQ=mo,mudah untuk mengisi data/beli data,5,0,7.32.0,10/3/2024 18:04,"
Terima kasih atas apresiasi yang diberikan serta rating terbaiknya untuk Aplikasi kami, dan utk cek promo terbaru dari smartfren silahkan hubungi kami serta infokan nomor smartfrennya saat menghubungi kami di layanan Whatsapp di nomor 08881212888. Terima kasih. Dewa


",10/3/2024 18:08,7.32.0,positif
2bbfb7c8-b7a0-4579-88cf-9ef980677487,Faisal Waliyudin,https://play-lh.googleusercontent.com/a-/ALV-UjWmUADD-D_lIBV0fF4Bw88aMsIvBqyDc-RrIl-jyfrptj2KYxc,"paket smartfren terbaik, lebih baik lagi paket yang dulu kaya unli 1gb/h 30h 60k di ada in lagi. paling males bukan app smartfren itu pop up nya bikin ganggu kaya rating&ceklis syarat ketentuan setiap kali login ada mulu, sampai si app nya gk bisa disentuh karena bug pop up nya gk muncul.",4,0,,10/3/2024 17:16,"
Kami memahami apa yang Teman smartfren rasakan dan kami siap membantu. Agar kendala Kamu dapat diselesaikan, silakan kunjungi layanan Whatsapp Official Smartfren di 08881212888 . Kami pastikan akan ada CSR yang siap melayani kendala Kamu. Terima kasih. Carlo


",10/3/2024 17:19,,negatif
bf7a939d-ebde-49e0-9cc7-bdc7b11bd8b9,Sinta Suliyati,https://play-lh.googleusercontent.com/a/ACg8ocJ6K57RhSg_xHPhjeDKbeBFl-TTvbiwfdicqbMqB-03ecCi4w=mo,top,5,0,7.32.0,10/3/2024 17:11,"
Hi Teman smartfren.Terima kasih atas bintangnya.Terus setia dgn smartfrennya ya kak. Untuk lebih mudah cek promo terkini, cek kuota dan masa berlaku, beli pulsa, dan beli paket juga bisa hubungi Whatsapp Official Smartfren di 08881212888. Terima kasih.  Arlan",10/3/2024 17:14,7.32.0,positif
ed47039e-d2d8-4976-9f45-18b72dd22065,Iman Nudin,https://play-lh.googleusercontent.com/a/ACg8ocIzEcud_JAZ-5TgoL8iz0vLfwtgqv8mQInDo7mzDKsFlinpnA=mo,Oke,5,0,7.32.0,10/3/2024 17:03,"




Terima kasih Teman smartfren utk bintang limanya. Kami informasikan perihal utk keluhan, saran dan informasi kamu  bisa menghubungi kami melalui layanan Whatsapp Official Smartfren di 08881212888 ( hubungi.co/a/Smartfren ) #makinmudahmakindekat . Terima kasih - El
",10/3/2024 17:08,7.32.0,positif
b8ae9dec-6db7-4453-8567-606df62bf715,Nur Alim,https://play-lh.googleusercontent.com/a/ACg8ocKczX3UMyMirHz-pCa_yWEMoR12_Yq8_Gy6a_bgr6ROx_4vZA=mo,Mantap oke,4,0,5.1.5,10/3/2024 16:28,"
Terima kasih kak utk apresiasi yg diberikan, kami harap kakak bisa memberikan rating 5 nya utk aplikasi kami dan jika ada yang ingin ditanyakan atau kendala seputar layanan smartfrennya, kamu bisa mengunjungi Whatsapp di 08881212888 , agar dapat dilakukan pengecekan lebih lanjut. Terima kasih. Dewa
",10/3/2024 16:35,5.1.5,positif
319e1bd8-6724-4547-b0ed-39baac9d268e,MD. IBNU MAS'UD,https://play-lh.googleusercontent.com/a-/ALV-UjXH8ltnuGgp51k99aM0SUOYQ3eQoApdHNdpaPlN8GW9NKxruFrv,bagus mudah untuk mengecek koata,5,0,7.32.0,10/3/2024 16:23,"
Terima kasih atas apresiasi yang diberikan serta rating terbaiknya untuk Aplikasi kami, dan utk cek promo terbaru dari smartfren silahkan hubungi kami serta infokan nomor smartfrennya saat menghubungi kami di layanan Whatsapp di nomor 08881212888. Terima kasih. Tama
",10/3/2024 16:31,7.32.0,positif
